E-table state encoding (flip, slice_id, edge8_perm, slice_perm)
======================================================================

E0166 [   0,494,19673, 3] [ 4步] U翻棱:U2 | D归位:B2 | 中层:U | 收尾:L2
E0167 [   0,494,15822,12] [ 4步] U翻棱:U' | D归位:F2 | 中层:D2 | 收尾:L2
E0168 [   0,494,29490,13] [ 5步] U翻棱:U | D归位:F2 | 中层:B2 | 收尾:L2 U'
E0169 [   0,494,15047,17] [ 6步] U翻棱:D | D归位:F2 D2 | 中层:L2 | 收尾:U2 R2
E0170 [   0,494,39617,12] [ 5步] U翻棱:D | D归位:F2 | 中层:U2 | 收尾:L2 D'
E0171 [   0,494,   96, 1] [ 2步] U翻棱:D | D归位: | 中层: | 收尾:B2
E0172 [   0,494,19593, 1] [ 3步] U翻棱:U2 | D归位: | 中层:B2 | 收尾:U
E0173 [   0,494,11822,10] [ 5步] U翻棱:L2 | D归位:B2 | 中层:U2 | 收尾:F2 D2
E0174 [   0,494, 8476,11] [ 8步] U翻棱:U2 R2 | D归位:L2 B2 | 中层:U L2 | 收尾:U' D2
E0175 [   0,494, 9658,21] [ 6步] U翻棱:U | D归位:D' L2 | 中层:D' | 收尾:R2 L2
E0176 [   0,494, 2690,12] [ 4步] U翻棱:D' | D归位:F2 | 中层:D | 收尾:L2
E0177 [   0,494,35797,23] [ 5步] U翻棱:D' | D归位:R2 | 中层:L2 | 收尾:U' D
E0178 [   0,494, 1747, 8] [ 7步] U翻棱:R2 | D归位:U2 R2 | 中层:D L2 | 收尾:D' F2
E0179 [   0,494, 4722, 2] [ 7步] U翻棱:D' | D归位:B2 U | 中层:B2 L2 | 收尾:U' D'
E0180 [   0,494, 7634, 0] [ 8步] U翻棱:U R2 | D归位:B2 D2 | 中层:B2 U2 | 收尾:R2 U2
E0181 [   0,494,16041, 9] [ 7步] U翻棱:D2 | D归位:R2 U' | 中层:D2 B2 | 收尾:L2 U
E0182 [   0,494,29679, 3] [ 6步] U翻棱:U2 | D归位:B2 D' | 中层:L2 | 收尾:U D
E0183 [   0,494,18150,22] [ 6步] U翻棱:L2 | D归位:U' D | 中层:R2 | 收尾:F2 D'
E0184 [   0,494, 7214, 4] [ 8步] U翻棱:L2 D' | D归位:F2 B2 | 中层:D2 F2 | 收尾:U D'
E0185 [   0,494,24237, 7] [ 5步] U翻棱:L2 | D归位:F2 | 中层:D' | 收尾:B2 R2
E0186 [   0,494,29051, 9] [ 6步] U翻棱:U | D归位:D B2 | 中层:D | 收尾:L2 F2
E0187 [   0,494,13344,19] [ 5步] U翻棱:U2 | D归位:R2 | 中层:U2 | 收尾:F2 U2
E0188 [   0,494,32823,22] [ 6步] U翻棱:D2 | D归位:B2 U2 | 中层:D | 收尾:R2 L2
E0189 [   0,494,29161,23] [ 4步] U翻棱:R2 | D归位:U | 中层:D' | 收尾:L2
E0190 [   0,494,25744,16] [ 8步] U翻棱:D2 B2 | D归位:D' R2 | 中层:D' L2 | 收尾:B2 U'
E0191 [   0,494,36630,18] [ 6步] U翻棱:U | D归位:R2 F2 | 中层:U' | 收尾:D2 L2
E0192 [   0,494, 3104,23] [ 5步] U翻棱:U | D归位:R2 | 中层:L2 | 收尾:U' D
E0193 [   0,494,11254,18] [ 7步] U翻棱:D2 | D归位:R2 U' | 中层:D' F2 | 收尾:L2 U
E0194 [   0,494,11536, 0] [ 2步] U翻棱:U2 | D归位: | 中层: | 收尾:D2
