corner_class,edge_class,canonical_a,canonical_b,sym,length
14,21,8,12,4,3
16,34,8,12,5,3
8,14,8,14,0,7
11,35,8,14,1,7
11,29,8,14,2,7
8,22,8,14,3,7
14,22,8,14,4,7
16,29,8,14,5,7
16,35,8,14,6,7
14,14,8,14,7,7
8,15,8,15,0,6
11,36,8,15,1,6
11,30,8,15,2,6
8,23,8,15,3,6
14,23,8,15,4,6
16,30,8,15,5,6
16,36,8,15,6,6
14,15,8,15,7,6
8,17,8,17,0,6
11,32,8,17,1,6
14,24,8,17,4,6
16,37,8,17,5,6
8,21,8,21,0,5
11,34,8,21,1,5
14,12,8,21,4,5
16,27,8,21,5,5
8,24,8,24,0,6
11,37,8,24,1,6
14,17,8,24,4,6
16,32,8,24,5,6
8,27,8,27,0,6
11,12,8,27,1,6
11,21,8,27,2,6
8,34,8,27,3,6
14,34,8,27,4,6
16,21,8,27,5,6
16,12,8,27,6,6
14,27,8,27,7,6
8,29,8,29,0,6
11,22,8,29,1,6
14,35,8,29,4,6
16,14,8,29,5,6
8,30,8,30,0,5
11,23,8,30,1,5
14,36,8,30,4,5
16,15,8,30,5,5
8,32,8,32,0,7
11,17,8,32,1,7
11,24,8,32,2,7
8,37,8,32,3,7
14,37,8,32,4,7
16,24,8,32,5,7
16,17,8,32,6,7
14,32,8,32,7,7
8,35,8,35,0,6
11,14,8,35,1,6
14,29,8,35,4,6
16,22,8,35,5,6
8,36,8,36,0,3
11,15,8,36,1,3
14,30,8,36,4,3
16,23,8,36,5,3
8,42,8,42,0,6
11,68,8,42,1,6
11,67,8,42,2,6
8,43,8,42,3,6
14,65,8,42,4,6
16,47,8,42,5,6
16,46,8,42,6,6
14,66,8,42,7,6
8,46,8,46,0,6
11,66,8,46,1,6
11,42,8,46,2,6
8,68,8,46,3,6
14,67,8,46,4,6
16,43,8,46,5,6
16,65,8,46,6,6
14,47,8,46,7,6
8,47,8,47,0,5
11,65,8,47,1,5
11,43,8,47,2,5
8,67,8,47,3,5
14,68,8,47,4,5
16,42,8,47,5,5
16,66,8,47,6,5
14,46,8,47,7,5
8,48,8,48,0,6
11,72,8,48,1,6
11,52,8,48,2,6
8,70,8,48,3,6
14,69,8,48,4,6
16,53,8,48,5,6
16,71,8,48,6,6
14,49,8,48,7,6
8,49,8,49,0,5
11,71,8,49,1,5
11,53,8,49,2,5
8,69,8,49,3,5
14,70,8,49,4,5
16,52,8,49,5,5
16,72,8,49,6,5
14,48,8,49,7,5
8,52,8,52,0,6
11,70,8,52,1,6
11,69,8,52,2,6
8,53,8,52,3,6
14,71,8,52,4,6
16,49,8,52,5,6
16,48,8,52,6,6
14,72,8,52,7,6
8,54,8,54,0,6
11,79,8,54,1,6
14,54,8,54,4,6
16,79,8,54,5,6
8,55,8,55,0,4
11,55,8,55,1,4
11,58,8,55,2,4
8,61,8,55,3,4
14,74,8,55,4,4
16,74,8,55,5,4
16,61,8,55,6,4
14,58,8,55,7,4
8,57,8,57,0,7
11,64,8,57,1,7
11,73,8,57,2,7
8,73,8,57,3,7
14,64,8,57,4,7
16,57,8,57,5,7
16,60,8,57,6,7
14,60,8,57,7,7
8,58,8,58,0,6
11,61,8,58,1,6
11,74,8,58,2,6
8,74,8,58,3,6
14,61,8,58,4,6
16,58,8,58,5,6
16,55,8,58,6,6
14,55,8,58,7,6
8,60,8,60,0,6
11,60,8,60,1,6
11,57,8,60,2,6
