ep_0..11,canonical_id,sym_index,length,formula
3 1 2 0 6 7 5 4 9 11 10 8,C208,2,12,L2 B2 L2 U' R2 D' R2 F2 L2 D' L2 D'
3 1 2 0 6 7 5 4 10 8 9 11,C209,2,12,U' F2 D' L2 F2 R2 D' F2 D' F2 R2 F2
3 1 2 0 6 7 5 4 10 9 11 8,C205,2,12,L2 B2 L2 U' F2 D' L2 F2 R2 D' F2 D'
3 1 2 0 6 7 5 4 10 11 8 9,C508,2,13,U D2 L2 U' F2 L2 B2 D' B2 U' F2 R2 F2
3 1 2 0 6 7 5 4 11 8 10 9,C210,2,12,U' R2 D' R2 F2 L2 D' L2 D' F2 R2 F2
3 1 2 0 6 7 5 4 11 9 8 10,C505,2,13,L2 B2 L2 U D2 L2 U' F2 L2 B2 U' L2 D'
3 1 2 0 6 7 5 4 11 10 9 8,C506,2,13,U' F2 U D2 B2 L2 F2 D' L2 U' F2 R2 F2
3 1 2 0 7 4 5 6 8 9 10 11,C222,2,12,B2 U R2 F2 D R2 F2 R2 D F2 U' B2
3 1 2 0 7 4 5 6 8 10 11 9,C223,2,12,B2 D B2 R2 U R2 F2 R2 D F2 U' B2
3 1 2 0 7 4 5 6 8 11 9 10,C543,2,13,B2 U R2 F2 U F2 L2 F2 U2 D' R2 D' B2
3 1 2 0 7 4 5 6 9 8 11 10,C546,2,13,B2 D B2 R2 U R2 F2 R2 U' D2 R2 D' B2
3 1 2 0 7 4 5 6 9 10 8 11,C542,2,13,B2 U R2 F2 U2 D' L2 B2 L2 U R2 D' B2
3 1 2 0 7 4 5 6 9 11 10 8,C224,2,12,R2 U' L2 D B2 L2 B2 U B2 R2 D R2
3 1 2 0 7 4 5 6 10 8 9 11,C225,2,12,B2 D B2 R2 D B2 R2 B2 U F2 U' B2
3 1 2 0 7 4 5 6 10 9 11 8,C540,2,13,B2 U R2 F2 U F2 L2 F2 D L2 U2 D B2
3 1 2 0 7 4 5 6 10 11 8 9,C544,2,13,B2 U R2 F2 U F2 L2 F2 U' D2 F2 U' B2
3 1 2 0 7 4 5 6 11 8 10 9,C545,2,13,B2 U R2 F2 D R2 F2 R2 U L2 U2 D B2
3 1 2 0 7 4 5 6 11 9 8 10,C782,2,14,U2 F2 D F2 L2 D F2 L2 F2 U B2 U' F2 U2
3 1 2 0 7 4 5 6 11 10 9 8,C541,2,13,B2 U R2 F2 U F2 L2 F2 U B2 U D2 B2
3 1 2 0 7 4 6 5 8 9 11 10,C554,2,13,L2 F2 U2 L2 D' L2 R2 U' L2 R2 B2 R2 D2
3 1 2 0 7 4 6 5 8 10 9 11,C556,2,13,R2 U F2 L2 B2 R2 B2 U2 R2 D2 R2 U R2
3 1 2 0 7 4 6 5 8 11 10 9,C560,2,13,F2 U2 L2 D' L2 R2 U' L2 R2 B2 R2 D2 L2
3 1 2 0 7 4 6 5 9 8 10 11,C562,2,13,L2 B2 L2 R2 U2 R2 U L2 R2 D B2 L2 U2
3 1 2 0 7 4 6 5 9 10 11 8,C557,2,13,F2 R2 U2 L2 U' F2 B2 D' F2 R2 U2 F2 R2
3 1 2 0 7 4 6 5 9 11 8 10,C789,2,14,U L2 U L2 B2 R2 U' L2 D2 L2 D' L2 B2 L2
3 1 2 0 7 4 6 5 10 8 11 9,C790,2,14,U L2 F2 L2 U' F2 D2 F2 D' R2 F2 L2 U L2
3 1 2 0 7 4 6 5 10 9 8 11,C555,2,13,B2 U2 R2 U' L2 R2 D' L2 R2 B2 R2 U2 R2
3 1 2 0 7 4 6 5 10 11 9 8,C559,2,13,L2 B2 L2 R2 U2 R2 D F2 B2 U B2 L2 U2
3 1 2 0 7 4 6 5 11 8 9 10,C561,2,13,F2 U2 L2 U' F2 B2 D' L2 R2 B2 R2 D2 L2
3 1 2 0 7 4 6 5 11 9 10 8,C553,2,13,R2 U F2 L2 B2 R2 B2 L2 U L2 D2 L2 U2
3 1 2 0 7 4 6 5 11 10 8 9,C558,2,13,L2 F2 U2 L2 U' F2 B2 D' L2 R2 B2 R2 D2
3 1 2 0 7 5 4 6 8 9 11 10,C454,2,13,U2 F2 D2 F2 U F2 L2 F2 R2 B2 R2 U B2
3 1 2 0 7 5 4 6 8 10 9 11,C456,2,13,U2 F2 R2 D F2 B2 U B2 U2 F2 B2 R2 F2
3 1 2 0 7 5 4 6 8 11 10 9,C458,2,13,F2 U2 F2 L2 F2 B2 U' F2 B2 D' B2 D2 L2
3 1 2 0 7 5 4 6 9 8 10 11,C461,2,13,U2 F2 U2 B2 D F2 L2 B2 L2 F2 R2 D B2
3 1 2 0 7 5 4 6 9 10 11 8,C457,2,13,F2 U2 F2 R2 U L2 R2 D B2 U2 F2 B2 R2
3 1 2 0 7 5 4 6 9 11 8 10,C459,2,13,U2 F2 L2 F2 B2 D' L2 R2 U' B2 D2 L2 F2
3 1 2 0 7 5 4 6 10 8 11 9,C462,2,13,U2 F2 R2 U L2 R2 D B2 U2 F2 B2 R2 F2
3 1 2 0 7 5 4 6 10 9 8 11,C455,2,13,F2 U2 F2 R2 D F2 B2 U B2 U2 F2 B2 R2
3 1 2 0 7 5 4 6 10 11 9 8,C743,2,14,U F2 L2 B2 U' F2 U2 B2 U' L2 B2 L2 D F2
3 1 2 0 7 5 4 6 11 8 9 10,C460,2,13,F2 U2 F2 L2 F2 B2 D' L2 R2 U' B2 D2 L2
3 1 2 0 7 5 4 6 11 9 10 8,C453,2,13,U2 F2 L2 F2 B2 U' F2 B2 D' B2 D2 L2 F2
3 1 2 0 7 5 4 6 11 10 8 9,C742,2,14,U F2 L2 B2 U' F2 D2 F2 D' F2 L2 F2 U F2
3 1 2 0 7 5 6 4 8 9 10 11,C071,1,11,R2 D L2 F2 R2 U2 F2 L2 B2 D R2
3 1 2 0 7 5 6 4 8 10 11 9,C180,2,12,R2 U L2 R2 U' B2 R2 U L2 R2 U' B2
